config_bundle,config_record_id,config_sha256,machine,method,model,run_name,source_path,task
artifacts/configs/matrix_balanced721_qwen05_e1__has_vul__direct/config.json,matrix_balanced721_qwen05_e1_has_vul_direct,4f5db4e836a22a8fe8987fc353f5344e62917185ce7f09ac9e7cdd1ca495c8d8,compute_node_a,direct,Qwen/Qwen2.5-Coder-0.5B-Instruct,matrix_balanced721_qwen05_e1__has_vul__direct,artifacts/configs/matrix_balanced721_qwen05_e1__has_vul__direct/config.json,has_vul
artifacts/configs/matrix_balanced721_qwen05_e1__has_vul__full/config.json,matrix_balanced721_qwen05_e1_has_vul_full,5159a5395c654d60a84b54cf972b4c72838839176c911d80fbadd739b1f10b22,compute_node_a,full,Qwen/Qwen2.5-Coder-0.5B-Instruct,matrix_balanced721_qwen05_e1__has_vul__full,artifacts/configs/matrix_balanced721_qwen05_e1__has_vul__full/config.json,has_vul
artifacts/configs/matrix_balanced721_qwen05_e1__has_vul__prompt/config.json,matrix_balanced721_qwen05_e1_has_vul_prompt,c97802ceff1e92b421b91fe3a39cde90415a34cd1ba8b95912ec968c9bb9647c,compute_node_a,prompt,Qwen/Qwen2.5-Coder-0.5B-Instruct,matrix_balanced721_qwen05_e1__has_vul__prompt,artifacts/configs/matrix_balanced721_qwen05_e1__has_vul__prompt/config.json,has_vul
artifacts/configs/matrix_balanced721_qwen05_e1__has_vul__qlora/config.json,matrix_balanced721_qwen05_e1_has_vul_qlora,f511882aae0b5443d46a0029f0ae89c9675ed0443a11cd47be2389f2079c727a,compute_node_a,qlora,Qwen/Qwen2.5-Coder-0.5B-Instruct,matrix_balanced721_qwen05_e1__has_vul__qlora,artifacts/configs/matrix_balanced721_qwen05_e1__has_vul__qlora/config.json,has_vul
artifacts/configs/matrix_balanced721_qwen05_e1__vul_line__direct/config.json,matrix_balanced721_qwen05_e1_vul_line_direct,fc5b863378c4354ee12632181a556494b6b37809d2aeb674d163075e83e557f9,compute_node_a,direct,Qwen/Qwen2.5-Coder-0.5B-Instruct,matrix_balanced721_qwen05_e1__vul_line__direct,artifacts/configs/matrix_balanced721_qwen05_e1__vul_line__direct/config.json,vul_line
artifacts/configs/matrix_balanced721_qwen05_e1__vul_line__full/config.json,matrix_balanced721_qwen05_e1_vul_line_full,7f7b7af4e9023d7450510a77337d8276688d26cdd41c11d6e89b41b8d54a0f86,compute_node_a,full,Qwen/Qwen2.5-Coder-0.5B-Instruct,matrix_balanced721_qwen05_e1__vul_line__full,artifacts/configs/matrix_balanced721_qwen05_e1__vul_line__full/config.json,vul_line
artifacts/configs/matrix_balanced721_qwen05_e1__vul_line__prompt/config.json,matrix_balanced721_qwen05_e1_vul_line_prompt,addaf8f79c6a9d0266ac58ec06c832016fa30f3f7c9261c935b0d1f3bd72acbb,compute_node_a,prompt,Qwen/Qwen2.5-Coder-0.5B-Instruct,matrix_balanced721_qwen05_e1__vul_line__prompt,artifacts/configs/matrix_balanced721_qwen05_e1__vul_line__prompt/config.json,vul_line
artifacts/configs/matrix_balanced721_qwen05_e1__vul_line__qlora/config.json,matrix_balanced721_qwen05_e1_vul_line_qlora,ea36ad9e9ca7ddc542633f3e33873873070681eea6b0b62aa518eb63e9bd32db,compute_node_a,qlora,Qwen/Qwen2.5-Coder-0.5B-Instruct,matrix_balanced721_qwen05_e1__vul_line__qlora,artifacts/configs/matrix_balanced721_qwen05_e1__vul_line__qlora/config.json,vul_line
artifacts/configs/matrix_balanced721_qwen05_e1__vul_type__direct/config.json,matrix_balanced721_qwen05_e1_vul_type_direct,0476a32c42ee2eb8e3eb92bf3e30263edc0abe806f888334c29b36be0a8cdafa,compute_node_a,direct,Qwen/Qwen2.5-Coder-0.5B-Instruct,matrix_balanced721_qwen05_e1__vul_type__direct,artifacts/configs/matrix_balanced721_qwen05_e1__vul_type__direct/config.json,vul_type
artifacts/configs/matrix_balanced721_qwen05_e1__vul_type__full/config.json,matrix_balanced721_qwen05_e1_vul_type_full,5eb96a1ff27ecf586c84bbd6f3e90297136ed7d9c987aaaf394bb99f421964c8,compute_node_a,full,Qwen/Qwen2.5-Coder-0.5B-Instruct,matrix_balanced721_qwen05_e1__vul_type__full,artifacts/configs/matrix_balanced721_qwen05_e1__vul_type__full/config.json,vul_type
artifacts/configs/matrix_balanced721_qwen05_e1__vul_type__prompt/config.json,matrix_balanced721_qwen05_e1_vul_type_prompt,1c0539e3aa9bffc8bd3dffd9f256153f2803f7e6db8ab0426180f838075c6eee,compute_node_a,prompt,Qwen/Qwen2.5-Coder-0.5B-Instruct,matrix_balanced721_qwen05_e1__vul_type__prompt,artifacts/configs/matrix_balanced721_qwen05_e1__vul_type__prompt/config.json,vul_type
artifacts/configs/matrix_balanced721_qwen05_e1__vul_type__qlora/config.json,matrix_balanced721_qwen05_e1_vul_type_qlora,9c45182e143421a3e27e94b73c95d59991d0b7e95f5efe9ba3923b33b9e26bbc,compute_node_a,qlora,Qwen/Qwen2.5-Coder-0.5B-Instruct,matrix_balanced721_qwen05_e1__vul_type__qlora,artifacts/configs/matrix_balanced721_qwen05_e1__vul_type__qlora/config.json,vul_type
artifacts/configs/formal_balanced721_qwen25coder15b_e1__has_vul__direct/config.json,formal_balanced721_qwen25coder15b_e1_has_vul_direct,0060291829bb0c1a8d77c5d2494b89ec328f1a2317100b94935fdc5b44335de1,compute_node_a,direct,Qwen/Qwen2.5-Coder-1.5B-Instruct,formal_balanced721_qwen25coder15b_e1__has_vul__direct,artifacts/configs/formal_balanced721_qwen25coder15b_e1__has_vul__direct/config.json,has_vul
artifacts/configs/formal_balanced721_qwen25coder15b_e1__has_vul__full/config.json,formal_balanced721_qwen25coder15b_e1_has_vul_full,e42e8c41b518debe598802de8c183319c0d55992cd0e7806a82f65303e4bbf8e,compute_node_a,full,Qwen/Qwen2.5-Coder-1.5B-Instruct,formal_balanced721_qwen25coder15b_e1__has_vul__full,artifacts/configs/formal_balanced721_qwen25coder15b_e1__has_vul__full/config.json,has_vul
artifacts/configs/formal_balanced721_qwen25coder15b_e1__has_vul__prompt/config.json,formal_balanced721_qwen25coder15b_e1_has_vul_prompt,6d4a5252e0ad27e1e8192fbdad2d52eb3866a5455cafa526ec2eb08e4e4e7053,compute_node_a,prompt,Qwen/Qwen2.5-Coder-1.5B-Instruct,formal_balanced721_qwen25coder15b_e1__has_vul__prompt,artifacts/configs/formal_balanced721_qwen25coder15b_e1__has_vul__prompt/config.json,has_vul
artifacts/configs/formal_balanced721_qwen25coder15b_e1__has_vul__qlora/config.json,formal_balanced721_qwen25coder15b_e1_has_vul_qlora,72a819613316e029f0b162c7032ba052c1aba947cf9d22a99948e9af8e61272b,compute_node_a,qlora,Qwen/Qwen2.5-Coder-1.5B-Instruct,formal_balanced721_qwen25coder15b_e1__has_vul__qlora,artifacts/configs/formal_balanced721_qwen25coder15b_e1__has_vul__qlora/config.json,has_vul
artifacts/configs/formal_balanced721_qwen25coder15b_e1__vul_line__direct/config.json,formal_balanced721_qwen25coder15b_e1_vul_line_direct,16cbf7ab51cf580ef4deccc4d459132bc1792d1cb8c4c970f85cc81b8fedad49,compute_node_a,direct,Qwen/Qwen2.5-Coder-1.5B-Instruct,formal_balanced721_qwen25coder15b_e1__vul_line__direct,artifacts/configs/formal_balanced721_qwen25coder15b_e1__vul_line__direct/config.json,vul_line
artifacts/configs/formal_balanced721_qwen25coder15b_e1__vul_line__full/config.json,formal_balanced721_qwen25coder15b_e1_vul_line_full,c107c6aa9c5721e9dd94cf2ad3a5613ecca67f05344d79384834d0912228705c,compute_node_a,full,Qwen/Qwen2.5-Coder-1.5B-Instruct,formal_balanced721_qwen25coder15b_e1__vul_line__full,artifacts/configs/formal_balanced721_qwen25coder15b_e1__vul_line__full/config.json,vul_line
artifacts/configs/formal_balanced721_qwen25coder15b_e1__vul_line__prompt/config.json,formal_balanced721_qwen25coder15b_e1_vul_line_prompt,70ccb7f6646e4ca2d0c33f37e01bd4918954365291109d14c5748e27c5f794fd,compute_node_a,prompt,Qwen/Qwen2.5-Coder-1.5B-Instruct,formal_balanced721_qwen25coder15b_e1__vul_line__prompt,artifacts/configs/formal_balanced721_qwen25coder15b_e1__vul_line__prompt/config.json,vul_line
