系列,模型,任务,方法,任务类型,状态,执行机器,run_name,accuracy,precision,recall,f1,strict_f1,tolerant_f1,contract_hit,candidate_recall,avg_candidates_per_contract,multi_label_examples,multi_label_hit_accuracy,multi_label_precision,multi_label_recall,multi_label_f1,train_examples,val_examples,test_examples,runtime_minutes,完成时间,本地summary,predictions_file,multi_label_predictions_file,best_checkpoint,来源,补齐阶段说明,数据版本说明,补齐前6组标记,可用于补齐前后对比,本地metrics路径,parseable_ratio,format_failure_rate,empty_output_rate,备注,本地metrics闭合状态,闭合审计说明,macro_precision,macro_recall,macro_f1,strict_precision,strict_recall,tolerant_precision,tolerant_recall
StarCoder2,bigcode/starcoder2-15b,has_vul,direct,has,completed,compute_node_c,remote_starcoder2_15b_e1__has_vul__direct,0.5116377486246297,0.7121212121212122,0.07768595041322314,0.14008941877794337,,,,,,,,,,,,,2363,68.32972696666667,46157.67322931713,artifacts/summaries/remote_starcoder2_15b_e1__has_vul__direct/matrix_summary.json,artifacts/predictions/remote_starcoder2_15b_e1__has_vul__direct/predictions.jsonl,,,matrix_summary,,,,,,,,,,已闭合,artifacts/metrics/remote_starcoder2_15b_e1__has_vul__direct/metrics.json,,,,,,,
StarCoder2,bigcode/starcoder2-15b,has_vul,prompt,has,completed,compute_node_c,remote_starcoder2_15b_e1__has_vul__prompt,0.5454930173508252,0.7411347517730497,0.17272727272727273,0.2801608579088472,,,,,,,,,,,,,2363,68.89333905,46157.72107195602,artifacts/summaries/remote_starcoder2_15b_e1__has_vul__prompt/matrix_summary.json,artifacts/predictions/remote_starcoder2_15b_e1__has_vul__prompt/predictions.jsonl,,,matrix_summary,,,,,,,,,,已闭合,artifacts/metrics/remote_starcoder2_15b_e1__has_vul__prompt/metrics.json,,,,,,,
StarCoder2,bigcode/starcoder2-15b,has_vul,qlora,has,completed,compute_node_c,remote_starcoder2_15b_e1__has_vul__qlora,0.7261955141768938,0.6745195288282703,0.8991735537190083,0.7708111937654977,,,,,,,,,,,17411,4667,2363,137.23648643333334,46157.81637511574,artifacts/summaries/remote_starcoder2_15b_e1__has_vul__qlora/matrix_summary.json,,,artifacts/checkpoints/remote_starcoder2_15b_e1__has_vul__qlora/checkpoint-2177,matrix_summary,,,,,,,,,,已闭合,artifacts/metrics/remote_starcoder2_15b_e1__has_vul__qlora/metrics.json,,,,,,,
StarCoder2,bigcode/starcoder2-15b,vul_line,direct,line,completed,compute_node_c,remote_starcoder2_15b_e1__vul_line__direct,,,,,0.06429474444645114,0.1266629351508354,0.31474597273853777,0.7914485767909362,91.43866171003718,,,,,,,,807,2088.7983764,46159.47698789352,artifacts/summaries/remote_starcoder2_15b_e1__vul_line__direct/matrix_summary.json,artifacts/predictions/remote_starcoder2_15b_e1__vul_line__direct/predictions.jsonl,,,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__direct/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__direct/metrics.json,,,,0.073523,0.057125,0.212722,0.09018
StarCoder2,bigcode/starcoder2-15b,vul_line,prompt,line,completed,compute_node_c,remote_starcoder2_15b_e1__vul_line__prompt,,,,,0.03937150081271447,0.09291962083177392,0.22057001239157373,0.7914485767909362,91.43866171003718,,,,,,,,807,2126.372471766667,46160.95363548611,artifacts/summaries/remote_starcoder2_15b_e1__vul_line__prompt/matrix_summary.json,artifacts/predictions/remote_starcoder2_15b_e1__vul_line__prompt/predictions.jsonl,,,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__prompt/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__prompt/metrics.json,,,,0.045023,0.034981,0.163982,0.064827
StarCoder2,bigcode/starcoder2-15b,vul_line,qlora,line,completed,compute_node_c,remote_starcoder2_15b_e1__vul_line__qlora,,,,,0.24417554632472455,0.3819924789582197,0.8116480793060719,0.7914485767909362,91.43866171003718,,,,,,10155,1529,807,1122.0254410833334,46161.73281987268,artifacts/summaries/remote_starcoder2_15b_e1__vul_line__qlora/matrix_summary.json,artifacts/predictions/remote_starcoder2_15b_e1__vul_line__qlora/predictions_test.jsonl,,artifacts/checkpoints/remote_starcoder2_15b_e1__vul_line__qlora/checkpoint-22502,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__qlora/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__qlora/metrics.json,,,,0.279223,0.216945,0.515903,0.303273
StarCoder2,bigcode/starcoder2-15b,vul_type,direct,type,completed,compute_node_c,remote_starcoder2_15b_e1__vul_type__direct,0.24497991967871485,0.24497991967871485,0.16781292984869325,0.19918367346938773,,,,,,521,0.19769673704414586,0.19769673704414586,0.07167710508002784,0.10520939734422881,,,1992,57.96893863333333,46157.85663136574,artifacts/summaries/remote_starcoder2_15b_e1__vul_type__direct/matrix_summary.json,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__direct/predictions.jsonl,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__direct/predictions_multi_label.jsonl,,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_15b_e1__vul_type__direct/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_15b_e1__vul_type__direct/metrics.json,0.519044,0.152498,0.110677,,,,
StarCoder2,bigcode/starcoder2-15b,vul_type,prompt,type,completed,compute_node_c,remote_starcoder2_15b_e1__vul_type__prompt,0.20682730923694778,0.20682730923694778,0.14167812929848694,0.16816326530612247,,,,,,521,0.19193857965451055,0.19193857965451055,0.06958942240779402,0.10214504596527067,,,1992,58.77284563333333,46157.89744587963,artifacts/summaries/remote_starcoder2_15b_e1__vul_type__prompt/matrix_summary.json,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__prompt/predictions.jsonl,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__prompt/predictions_multi_label.jsonl,,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_15b_e1__vul_type__prompt/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_15b_e1__vul_type__prompt/metrics.json,0.181403,0.122151,0.058202,,,,
StarCoder2,bigcode/starcoder2-15b,vul_type,qlora,type,completed,compute_node_c,remote_starcoder2_15b_e1__vul_type__qlora,0.5918674698795181,0.5918674698795181,0.40543328748280605,0.48122448979591836,,,,,,521,0.6487523992322457,0.6487523992322457,0.23521224773834376,0.3452502553626149,24992,3829,1992,185.7419786,46158.02643341435,artifacts/summaries/remote_starcoder2_15b_e1__vul_type__qlora/matrix_summary.json,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__qlora/predictions_test.jsonl,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__qlora/predictions_test_multi_label.jsonl,artifacts/checkpoints/remote_starcoder2_15b_e1__vul_type__qlora/checkpoint-3124,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_15b_e1__vul_type__qlora/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_15b_e1__vul_type__qlora/metrics.json,0.636006,0.293977,0.367974,,,,
StarCoder2,bigcode/starcoder2-3b,has_vul,direct,has,completed,compute_node_c,remote_starcoder2_3b_e1__has_vul__direct,0.4879390605162928,0.5,0.019834710743801654,0.03815580286168521,,,,,,,,,,,,,2363,23.165929533333333,46160.01891620371,artifacts/summaries/remote_starcoder2_3b_e1__has_vul__direct/matrix_summary.json,artifacts/predictions/remote_starcoder2_3b_e1__has_vul__direct/predictions.jsonl,,,matrix_summary,,,,,,,,,,已闭合,artifacts/metrics/remote_starcoder2_3b_e1__has_vul__direct/metrics.json,,,,,,,
