系列,模型,任务,方法,任务类型,状态,执行机器,run_name,accuracy,precision,recall,f1,strict_f1,tolerant_f1,contract_hit,candidate_recall,avg_candidates_per_contract,multi_label_examples,multi_label_hit_accuracy,multi_label_precision,multi_label_recall,multi_label_f1,train_examples,val_examples,test_examples,runtime_minutes,完成时间,本地summary,predictions_file,multi_label_predictions_file,best_checkpoint,来源,补齐阶段说明,数据版本说明,补齐前6组标记,可用于补齐前后对比,本地metrics路径,macro_precision,macro_recall,macro_f1,strict_precision,strict_recall,tolerant_precision,tolerant_recall
StarCoder2,bigcode/starcoder2-15b,vul_line,direct,line,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_15b_e1__vul_line__direct,,,,,0.06429474444645114,0.1266629351508354,0.31474597273853777,0.7914485767909362,91.43866171003718,,,,,,,,807,2088.7983764,46159.47698789352,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_15b_e1__vul_line__direct/_root_autodl-tmp_hf_cache_worker_7_local_modelscope_starcoder2-15b/vul_line__direct/predictions.jsonl,,,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1__vul_line__direct\vul_line__direct\metrics.json,,,,0.073523,0.057125,0.212722,0.09018
StarCoder2,bigcode/starcoder2-15b,vul_line,prompt,line,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_15b_e1__vul_line__prompt,,,,,0.03937150081271447,0.09291962083177392,0.22057001239157373,0.7914485767909362,91.43866171003718,,,,,,,,807,2126.372471766667,46160.95363548611,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_15b_e1__vul_line__prompt/_root_autodl-tmp_hf_cache_worker_7_local_modelscope_starcoder2-15b/vul_line__prompt/predictions.jsonl,,,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1__vul_line__prompt\vul_line__prompt\metrics.json,,,,0.045023,0.034981,0.163982,0.064827
StarCoder2,bigcode/starcoder2-15b,vul_line,qlora,line,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_15b_e1__vul_line__qlora,,,,,0.24417554632472455,0.3819924789582197,0.8116480793060719,0.7914485767909362,91.43866171003718,,,,,,10155,1529,807,1122.0254410833334,46161.73281987268,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_15b_e1__vul_line__qlora/_root_autodl-tmp_hf_cache_worker_7_local_modelscope_starcoder2-15b/vul_line__finetune/predictions_test.jsonl,,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_15b_e1__vul_line__qlora/_root_autodl-tmp_hf_cache_worker_7_local_modelscope_starcoder2-15b/vul_line__finetune/checkpoints/checkpoint-22502,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_15b_e1__vul_line__qlora\vul_line__finetune\metrics.json,,,,0.279223,0.216945,0.515903,0.303273
StarCoder2,bigcode/starcoder2-3b,vul_line,direct,line,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_3b_e1__vul_line__direct,,,,,0.022756005056890013,0.07790057642473754,0.20693928128872366,0.7914485767909362,91.43866171003718,,,,,,,,807,715.9494130666667,46160.73336253472,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_3b_e1__vul_line__direct/_root_autodl-tmp_hf_cache_worker_2_local_modelscope_starcoder2-3b/vul_line__direct/predictions.jsonl,,,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1__vul_line__direct\595141802364\metrics.json,,,,0.026022,0.020218,0.115655,0.058729
StarCoder2,bigcode/starcoder2-3b,vul_line,full,line,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_3b_e1__vul_line__full,,,,,0.28101860213111796,0.38594259055770824,0.8128872366790583,0.7914485767909362,91.43866171003718,,,,,,10155,1529,807,805.9395787,46161.78920390047,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_3b_e1__vul_line__full/_root_autodl-tmp_hf_cache_worker_2_local_modelscope_starcoder2-3b/vul_line__finetune/predictions_test.jsonl,,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_3b_e1__vul_line__full/_root_autodl-tmp_hf_cache_worker_2_local_modelscope_starcoder2-3b/vul_line__finetune/checkpoints/checkpoint-22502,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1__vul_line__full\vul_line__finetune\metrics.json,,,,0.321355,0.249679,0.483271,0.321245
StarCoder2,bigcode/starcoder2-3b,vul_line,prompt,line,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_3b_e1__vul_line__prompt,,,,,0.06610077659382338,0.13907230122300657,0.33209417596034696,0.7914485767909362,91.43866171003718,,,,,,,,807,714.47179115,46161.22952356481,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_3b_e1__vul_line__prompt/_root_autodl-tmp_hf_cache_worker_2_local_modelscope_starcoder2-3b/vul_line__prompt/predictions.jsonl,,,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1__vul_line__prompt\532848565366\metrics.json,,,,0.075589,0.058729,0.227592,0.100128
StarCoder2,bigcode/starcoder2-3b,vul_line,qlora,line,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_3b_e1__vul_line__qlora,,,,,0.21166696767202456,0.3413371130781332,0.7447335811648079,0.7914485767909362,91.43866171003718,,,,,,10155,1529,807,311.8176388666667,46162.00574399305,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_3b_e1__vul_line__qlora/_root_autodl-tmp_hf_cache_worker_2_local_modelscope_starcoder2-3b/vul_line__finetune/predictions_test.jsonl,,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_3b_e1__vul_line__qlora/_root_autodl-tmp_hf_cache_worker_2_local_modelscope_starcoder2-3b/vul_line__finetune/checkpoints/checkpoint-22502,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_3b_e1__vul_line__qlora\vul_line__finetune\metrics.json,,,,0.242049,0.188062,0.484511,0.263479
StarCoder2,bigcode/starcoder2-7b,vul_line,direct,line,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_7b_e1__vul_line__direct,,,,,0.041899945819035576,0.09749792262948942,0.23296158612143741,0.7914485767909362,91.43866171003718,,,,,,,,807,1085.63289715,46158.34002634259,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_7b_e1__vul_line__direct/_root_autodl-tmp_hf_cache_worker_5_local_modelscope_starcoder2-7b/vul_line__direct/predictions.jsonl,,,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1__vul_line__direct\vul_line__direct\metrics.json,,,,0.047914,0.037227,0.178439,0.067073
StarCoder2,bigcode/starcoder2-7b,vul_line,prompt,line,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_7b_e1__vul_line__prompt,,,,,0.044067184395882246,0.08926145473503952,0.2094175960346964,0.7914485767909362,91.43866171003718,,,,,,,,807,1091.9522597333334,46159.0983265625,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_7b_e1__vul_line__prompt/_root_autodl-tmp_hf_cache_worker_5_local_modelscope_starcoder2-7b/vul_line__prompt/predictions.jsonl,,,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1__vul_line__prompt\vul_line__prompt\metrics.json,,,,0.050392,0.039153,0.168938,0.060655
StarCoder2,bigcode/starcoder2-7b,vul_line,qlora,line,completed,C_autodl_rtxpro6000x8,autodl_starcoder2_7b_e1__vul_line__qlora,,,,,0.22394798627415566,0.36921541648396505,0.7806691449814126,0.7914485767909362,91.43866171003718,,,,,,10155,1529,807,579.1747540833334,46159.50053130787,C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_7b_e1__vul_line__qlora/_root_autodl-tmp_hf_cache_worker_5_local_modelscope_starcoder2-7b/vul_line__finetune/predictions_test.jsonl,,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_starcoder2_7b_e1__vul_line__qlora/_root_autodl-tmp_hf_cache_worker_5_local_modelscope_starcoder2-7b/vul_line__finetune/checkpoints/checkpoint-22502,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_starcoder2_7b_e1__vul_line__qlora\vul_line__finetune\metrics.json,,,,0.256093,0.198973,0.494424,0.294608
