accuracy,avg_candidates_per_contract,best_checkpoint,candidate_recall,contract_hit,empty_output_rate,f1,format_failure_rate,macro_f1,macro_precision,macro_recall,multi_label_examples,multi_label_f1,multi_label_hit_accuracy,multi_label_precision,multi_label_predictions_file,multi_label_recall,parseable_ratio,precision,predictions_file,recall,run_name,strict_f1,strict_precision,strict_recall,test_examples,tolerant_f1,tolerant_precision,tolerant_recall,train_examples,val_examples,weighted_f1,weighted_precision,weighted_recall,任务,执行机器,方法,本地metrics路径,模型,系列,结果状态,计划标记,说明
0.5010579771476936,,,,,,0.09097918272937548,,,,,,,,,,,,0.6781609195402298,artifacts/predictions/machine_a_codegemma2b_e1__has_vul__direct/predictions.jsonl,0.048760330578512395,machine_a_codegemma2b_e1__has_vul__direct,,,,2363,,,,,,,,,has_vul,compute_node_a,direct,CodeGemma,google/codegemma-2b,CodeGemma,有结果,已完成,artifacts/metrics/machine_a_codegemma2b_e1__has_vul__direct/metrics.json
0.8552687261955142,,artifacts/checkpoints/remote_codegemma_2b_e1_gpu4_retry__has_vul__full/checkpoint-2177,,,,0.8549618320610687,,,,,,,,,,,,0.8780487804878049,,0.8330578512396695,remote_codegemma_2b_e1_gpu4_retry__has_vul__full,,,,2363,,,,17411,4667,,,,has_vul,compute_node_c,full,CodeGemma,google/codegemma-2b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__has_vul__full/metrics.json
0.5264494286923402,,,,,,0.24646464646464647,,,,,,,,,,,,0.6654545454545454,artifacts/predictions/machine_a_codegemma2b_e1__has_vul__prompt/predictions.jsonl,0.15123966942148762,machine_a_codegemma2b_e1__has_vul__prompt,,,,2363,,,,,,,,,has_vul,compute_node_a,prompt,CodeGemma,google/codegemma-2b,CodeGemma,有结果,已完成,artifacts/metrics/machine_a_codegemma2b_e1__has_vul__prompt/metrics.json
0.8032162505289886,,artifacts/checkpoints/remote_codegemma_2b_e1_gpu4_retry__has_vul__qlora/checkpoint-2177,,,,0.8060075093867334,,,,,,,,,,,,0.8138163437236732,,0.7983471074380165,remote_codegemma_2b_e1_gpu4_retry__has_vul__qlora,,,,2363,,,,17411,4667,,,,has_vul,compute_node_c,qlora,CodeGemma,google/codegemma-2b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__has_vul__qlora/metrics.json
,91.43866171003718,,0.7914485767909362,0.23915737298636927,,,,,,,,,,,,,,,artifacts/predictions/remote_codegemma_2b_e1_gpu4_retry__vul_line__direct/predictions.jsonl,,remote_codegemma_2b_e1_gpu4_retry__vul_line__direct,0.047679248690626695,,,807,0.10236713230263006,,,,,,,,vul_line,compute_node_c,direct,,google/codegemma-2b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_line__direct/metrics.json
,91.438662,artifacts/checkpoints/remote_codegemma_2b_e1_gpu4_retry__vul_line__full/checkpoint-22502,0.791449,0.821561,,,,,,,,,,,,,,0.321768,artifacts/predictions/remote_codegemma_2b_e1_gpu4_retry__vul_line__full/predictions_test.jsonl,0.25,remote_codegemma_2b_e1_gpu4_retry__vul_line__full,0.28138,0.321768,0.25,807,0.390012,0.498554,0.320282,10155,1529,,,,vul_line,compute_node_c,full,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_line__full/metrics.json,google/codegemma-2b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_line__full/metrics.json
,91.438662,,0.791449,0.260223,,,,,,,,,,,,,,,artifacts/predictions/remote_codegemma_2b_e1_gpu4_retry__vul_line__prompt/predictions.jsonl,,remote_codegemma_2b_e1_gpu4_retry__vul_line__prompt,0.042984,0.049153,0.03819,807,0.100551,0.160677,0.073171,,,,,,vul_line,compute_node_c,prompt,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_line__prompt/metrics.json,google/codegemma-2b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_line__prompt/metrics.json
,91.43866171003718,artifacts/checkpoints/remote_codegemma_2b_e1_gpu4_retry__vul_line__qlora/checkpoint-22502,0.7914485767909362,0.8203221809169765,,,,,,,,,,,,,,,artifacts/predictions/remote_codegemma_2b_e1_gpu4_retry__vul_line__qlora/predictions_test.jsonl,,remote_codegemma_2b_e1_gpu4_retry__vul_line__qlora,0.27415567997110346,,,807,0.39253213966117545,,,10155,1529,,,,vul_line,compute_node_c,qlora,,google/codegemma-2b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_line__qlora/metrics.json
0.22239,,,,,,0.180816,,0.081762,0.514149,0.142794,521,0.096016,0.180422,0.180422,artifacts/predictions/remote_codegemma_2b_e1_gpu4_retry__vul_type__direct/predictions_multi_label.jsonl,0.065414,,0.22239,artifacts/predictions/remote_codegemma_2b_e1_gpu4_retry__vul_type__direct/predictions.jsonl,0.152338,remote_codegemma_2b_e1_gpu4_retry__vul_type__direct,,,,1992,,,,,,,,,vul_type,compute_node_c,direct,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_type__direct/metrics.json,google/codegemma-2b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_type__direct/metrics.json
0.748996,,artifacts/checkpoints/remote_codegemma_2b_e1_gpu4_retry__vul_type__full/checkpoint-3124,,,,0.60898,,0.448424,0.842861,0.368909,521,0.411645,0.773512,0.773512,artifacts/predictions/remote_codegemma_2b_e1_gpu4_retry__vul_type__full/predictions_test_multi_label.jsonl,0.280445,,0.748996,artifacts/predictions/remote_codegemma_2b_e1_gpu4_retry__vul_type__full/predictions_test.jsonl,0.513067,remote_codegemma_2b_e1_gpu4_retry__vul_type__full,,,,1992,,,,24992,3829,,,,vul_type,compute_node_c,full,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_type__full/metrics.json,google/codegemma-2b,CodeGemma,有结果,已完成,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_type__full/metrics.json
