accuracy,avg_candidates_per_contract,best_checkpoint,candidate_recall,contract_hit,empty_output_rate,f1,format_failure_rate,macro_f1,macro_precision,macro_recall,multi_label_examples,multi_label_f1,multi_label_hit_accuracy,multi_label_precision,multi_label_predictions_file,multi_label_recall,parseable_ratio,precision,predictions_file,recall,run_name,runtime_minutes,strict_f1,strict_precision,strict_recall,test_examples,tolerant_f1,tolerant_precision,tolerant_recall,train_examples,val_examples,任务,任务类型,可用于补齐前后对比,备注,完成时间,执行机器,数据版本说明,方法,本地metrics路径,本地metrics闭合状态,本地summary,来源,模型,状态,系列,补齐前6组标记,补齐阶段说明,闭合审计说明
0.5116377486246297,,,,,,0.14008941877794337,,,,,,,,,,,,0.7121212121212122,artifacts/predictions/remote_starcoder2_15b_e1__has_vul__direct/predictions.jsonl,0.07768595041322314,remote_starcoder2_15b_e1__has_vul__direct,68.32972696666667,,,,2363,,,,,,has_vul,has,,,46157.67322931713,compute_node_c,,direct,,已闭合,artifacts/summaries/remote_starcoder2_15b_e1__has_vul__direct/matrix_summary.json,matrix_summary,bigcode/starcoder2-15b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_15b_e1__has_vul__direct/metrics.json
0.5454930173508252,,,,,,0.2801608579088472,,,,,,,,,,,,0.7411347517730497,artifacts/predictions/remote_starcoder2_15b_e1__has_vul__prompt/predictions.jsonl,0.17272727272727273,remote_starcoder2_15b_e1__has_vul__prompt,68.89333905,,,,2363,,,,,,has_vul,has,,,46157.72107195602,compute_node_c,,prompt,,已闭合,artifacts/summaries/remote_starcoder2_15b_e1__has_vul__prompt/matrix_summary.json,matrix_summary,bigcode/starcoder2-15b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_15b_e1__has_vul__prompt/metrics.json
0.7261955141768938,,artifacts/checkpoints/remote_starcoder2_15b_e1__has_vul__qlora/checkpoint-2177,,,,0.7708111937654977,,,,,,,,,,,,0.6745195288282703,,0.8991735537190083,remote_starcoder2_15b_e1__has_vul__qlora,137.23648643333334,,,,2363,,,,17411,4667,has_vul,has,,,46157.81637511574,compute_node_c,,qlora,,已闭合,artifacts/summaries/remote_starcoder2_15b_e1__has_vul__qlora/matrix_summary.json,matrix_summary,bigcode/starcoder2-15b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_15b_e1__has_vul__qlora/metrics.json
,91.43866171003718,,0.7914485767909362,0.31474597273853777,,,,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_15b_e1__vul_line__direct/predictions.jsonl,,remote_starcoder2_15b_e1__vul_line__direct,2088.7983764,0.06429474444645114,0.073523,0.057125,807,0.1266629351508354,0.212722,0.09018,,,vul_line,line,,,46159.47698789352,compute_node_c,,direct,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__direct/metrics.json,已闭合,artifacts/summaries/remote_starcoder2_15b_e1__vul_line__direct/matrix_summary.json,matrix_summary,bigcode/starcoder2-15b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__direct/metrics.json
,91.43866171003718,,0.7914485767909362,0.22057001239157373,,,,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_15b_e1__vul_line__prompt/predictions.jsonl,,remote_starcoder2_15b_e1__vul_line__prompt,2126.372471766667,0.03937150081271447,0.045023,0.034981,807,0.09291962083177392,0.163982,0.064827,,,vul_line,line,,,46160.95363548611,compute_node_c,,prompt,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__prompt/metrics.json,已闭合,artifacts/summaries/remote_starcoder2_15b_e1__vul_line__prompt/matrix_summary.json,matrix_summary,bigcode/starcoder2-15b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__prompt/metrics.json
,91.43866171003718,artifacts/checkpoints/remote_starcoder2_15b_e1__vul_line__qlora/checkpoint-22502,0.7914485767909362,0.8116480793060719,,,,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_15b_e1__vul_line__qlora/predictions_test.jsonl,,remote_starcoder2_15b_e1__vul_line__qlora,1122.0254410833334,0.24417554632472455,0.279223,0.216945,807,0.3819924789582197,0.515903,0.303273,10155,1529,vul_line,line,,,46161.73281987268,compute_node_c,,qlora,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__qlora/metrics.json,已闭合,artifacts/summaries/remote_starcoder2_15b_e1__vul_line__qlora/matrix_summary.json,matrix_summary,bigcode/starcoder2-15b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__qlora/metrics.json
0.24497991967871485,,,,,,0.19918367346938773,,0.110677,0.519044,0.152498,521,0.10520939734422881,0.19769673704414586,0.19769673704414586,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__direct/predictions_multi_label.jsonl,0.07167710508002784,,0.24497991967871485,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__direct/predictions.jsonl,0.16781292984869325,remote_starcoder2_15b_e1__vul_type__direct,57.96893863333333,,,,1992,,,,,,vul_type,type,,,46157.85663136574,compute_node_c,,direct,artifacts/metrics/remote_starcoder2_15b_e1__vul_type__direct/metrics.json,已闭合,artifacts/summaries/remote_starcoder2_15b_e1__vul_type__direct/matrix_summary.json,matrix_summary,bigcode/starcoder2-15b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_15b_e1__vul_type__direct/metrics.json
0.20682730923694778,,,,,,0.16816326530612247,,0.058202,0.181403,0.122151,521,0.10214504596527067,0.19193857965451055,0.19193857965451055,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__prompt/predictions_multi_label.jsonl,0.06958942240779402,,0.20682730923694778,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__prompt/predictions.jsonl,0.14167812929848694,remote_starcoder2_15b_e1__vul_type__prompt,58.77284563333333,,,,1992,,,,,,vul_type,type,,,46157.89744587963,compute_node_c,,prompt,artifacts/metrics/remote_starcoder2_15b_e1__vul_type__prompt/metrics.json,已闭合,artifacts/summaries/remote_starcoder2_15b_e1__vul_type__prompt/matrix_summary.json,matrix_summary,bigcode/starcoder2-15b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_15b_e1__vul_type__prompt/metrics.json
0.5918674698795181,,artifacts/checkpoints/remote_starcoder2_15b_e1__vul_type__qlora/checkpoint-3124,,,,0.48122448979591836,,0.367974,0.636006,0.293977,521,0.3452502553626149,0.6487523992322457,0.6487523992322457,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__qlora/predictions_test_multi_label.jsonl,0.23521224773834376,,0.5918674698795181,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__qlora/predictions_test.jsonl,0.40543328748280605,remote_starcoder2_15b_e1__vul_type__qlora,185.7419786,,,,1992,,,,24992,3829,vul_type,type,,,46158.02643341435,compute_node_c,,qlora,artifacts/metrics/remote_starcoder2_15b_e1__vul_type__qlora/metrics.json,已闭合,artifacts/summaries/remote_starcoder2_15b_e1__vul_type__qlora/matrix_summary.json,matrix_summary,bigcode/starcoder2-15b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_15b_e1__vul_type__qlora/metrics.json
0.4879390605162928,,,,,,0.03815580286168521,,,,,,,,,,,,0.5,artifacts/predictions/remote_starcoder2_3b_e1__has_vul__direct/predictions.jsonl,0.019834710743801654,remote_starcoder2_3b_e1__has_vul__direct,23.165929533333333,,,,2363,,,,,,has_vul,has,,,46160.01891620371,compute_node_c,,direct,,已闭合,artifacts/summaries/remote_starcoder2_3b_e1__has_vul__direct/matrix_summary.json,matrix_summary,bigcode/starcoder2-3b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_3b_e1__has_vul__direct/metrics.json
0.8489208633093526,,artifacts/checkpoints/remote_starcoder2_3b_e1__has_vul__full/checkpoint-2177,,,,0.8495575221238938,,,,,,,,,,,,0.8667239896818573,,0.8330578512396695,remote_starcoder2_3b_e1__has_vul__full,68.87350046666667,,,,2363,,,,17411,4667,has_vul,has,,,46160.08318033565,compute_node_c,,full,,已闭合,artifacts/summaries/remote_starcoder2_3b_e1__has_vul__full/matrix_summary.json,matrix_summary,bigcode/starcoder2-3b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_3b_e1__has_vul__full/metrics.json
0.49259415996614475,,,,,,0.09509433962264151,,,,,,,,,,,,0.5478260869565217,artifacts/predictions/remote_starcoder2_3b_e1__has_vul__prompt/predictions.jsonl,0.05206611570247934,remote_starcoder2_3b_e1__has_vul__prompt,23.66673743333333,,,,2363,,,,,,has_vul,has,,,46160.03535148148,compute_node_c,,prompt,,已闭合,artifacts/summaries/remote_starcoder2_3b_e1__has_vul__prompt/matrix_summary.json,matrix_summary,bigcode/starcoder2-3b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_3b_e1__has_vul__prompt/metrics.json
0.6906474820143885,,artifacts/checkpoints/remote_starcoder2_3b_e1__has_vul__qlora/checkpoint-2177,,,,0.7084164339848424,,,,,,,,,,,,0.6846569005397071,,0.7338842975206612,remote_starcoder2_3b_e1__has_vul__qlora,35.51634743333333,,,,2363,,,,17411,4667,has_vul,has,,,46160.10784451389,compute_node_c,,qlora,,已闭合,artifacts/summaries/remote_starcoder2_3b_e1__has_vul__qlora/matrix_summary.json,matrix_summary,bigcode/starcoder2-3b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_3b_e1__has_vul__qlora/metrics.json
,91.43866171003718,,0.7914485767909362,0.20693928128872366,,,,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_3b_e1__vul_line__direct/predictions.jsonl,,remote_starcoder2_3b_e1__vul_line__direct,715.9494130666667,0.022756005056890013,0.026022,0.020218,807,0.07790057642473754,0.115655,0.058729,,,vul_line,line,,,46160.73336253472,compute_node_c,,direct,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__direct/metrics.json,已闭合,artifacts/summaries/remote_starcoder2_3b_e1__vul_line__direct/matrix_summary.json,matrix_summary,bigcode/starcoder2-3b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__direct/metrics.json
,91.43866171003718,artifacts/checkpoints/remote_starcoder2_3b_e1__vul_line__full/checkpoint-22502,0.7914485767909362,0.8128872366790583,,,,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_3b_e1__vul_line__full/predictions_test.jsonl,,remote_starcoder2_3b_e1__vul_line__full,805.9395787,0.28101860213111796,0.321355,0.249679,807,0.38594259055770824,0.483271,0.321245,10155,1529,vul_line,line,,,46161.78920390047,compute_node_c,,full,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__full/metrics.json,已闭合,artifacts/summaries/remote_starcoder2_3b_e1__vul_line__full/matrix_summary.json,matrix_summary,bigcode/starcoder2-3b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__full/metrics.json
,91.43866171003718,,0.7914485767909362,0.33209417596034696,,,,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_3b_e1__vul_line__prompt/predictions.jsonl,,remote_starcoder2_3b_e1__vul_line__prompt,714.47179115,0.06610077659382338,0.075589,0.058729,807,0.13907230122300657,0.227592,0.100128,,,vul_line,line,,,46161.22952356481,compute_node_c,,prompt,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__prompt/metrics.json,已闭合,artifacts/summaries/remote_starcoder2_3b_e1__vul_line__prompt/matrix_summary.json,matrix_summary,bigcode/starcoder2-3b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__prompt/metrics.json
