artifact_type,path,sha256,size_bytes
figure,replication/figures/figures_q1/fig1_framework.svg,fd9b33b3be5db283f9aa391104ae99a67ede823ab6ed16f6dba73704c3e44a88,4747
figure,replication/figures/figures_q1/fig2_method_performance.svg,3030cae7b840ad46feef4f5e9a4955229e33ed617626a93e7aae9588797bcaf5,5697
figure,replication/figures/figures_q1/fig3_mode_radar.svg,d794233c2bc5b440230ce905cd4c3b847f67e7518df2e28230a51be86e626163,4543
figure,replication/figures/figures_q1/fig4_qwen_scaling.svg,8d029a82315093fd73421c134498c3eae22bda104c0069e24e307d16adab9eb2,12501
figure,replication/figures/figures_q1/fig5_prompt_ablation.svg,e793bbdb23321939159c4854ee1ba3f55a510f57a66f9b7ce2f4acf947122f04,4633
figure,replication/figures/figures_q1/fig6_data_completion_slope.svg,447ba67c2e1a96581edcc7c5252d821ebc29d88451c29a1c76879b753f1290b0,4702
figure,replication/figures/figures_q1/fig7_line_boundary_scatter.svg,8c1699a5c01b74e8de4b639c236cb8c2cc7a12482405f3cc4761f8daf0a73a22,12219
figure,replication/figures/figures_q1/fig8_family_mode_heatmap.svg,c3741549ba29ae2b1a184a23165c00f35519857385291c9aa4cd25e4422b9eae,10101
figure,replication/figures/figures_q1/fig9_literature_anchor.svg,b2445ee5200b1cfcd4129c193d45b4cbaf28c14a60ff642dad335fa93be2d39e,4038
figure,replication/figures/figures_q1_redesign/fig1_protocol.svg,c7ddc2c01182111c7f1166b84c683fd968e6144b857ffbbb658a75c7b256db66,6281
figure,replication/figures/figures_q1_redesign/fig2_task_hierarchy.svg,5b42dc61b5a3a9482509651c6bbf171cda3f06b2c953b294750560ebdcdbc683,7086
figure,replication/figures/figures_q1_redesign/fig3_method_deltas.svg,8391261886eff19c2855381f60ffe3d72e808723dc1664a09e97aa0799f75018,8973
figure,replication/figures/figures_q1_redesign/fig4_qwen_scaling.svg,ecac841c283b65ff677d5a2b66c925fa0850992d38e6effd36098264d323b385,16250
figure,replication/figures/figures_q1_redesign/fig5_prompt_ablation.svg,d7c148fd46cf18c13f9efced9bb5380da08ea2674be3833e55f073342abd94e3,11945
figure,replication/figures/figures_q1_redesign/fig6_data_completion.svg,20524a38a6839713793ce55407f1fc2ce211407b00fa88ebb1ca683c7a60cc8e,6691
figure,replication/figures/figures_q1_redesign/fig7_family_task_mode_heatmap.svg,e30538228a10977e3eb71f0ea912b6c94b8bfa8c6a59cc15b063cffe016eccb3,26602
figure,replication/figures/figures_q1_redesign/fig7_line_boundary.svg,e6e73519ddad1c854bcc50cce178acc4aa7bbb46bbe97842f8b5d747bf603168,13416
figure,replication/figures/figures_q1_redesign/fig8_family_task_mode_heatmap.svg,e30538228a10977e3eb71f0ea912b6c94b8bfa8c6a59cc15b063cffe016eccb3,26602
figure,replication/figures/figures_q1_redesign/fig8_line_boundary.svg,e6e73519ddad1c854bcc50cce178acc4aa7bbb46bbe97842f8b5d747bf603168,13416
figure,replication/figures/figures_q1_redesign/fig9_runtime_tradeoff.svg,ac282b6a9a894d552415c41fd89d0270e1fcd650295a1c9660afe35243557f1a,28488
figure_source,replication/figures/figures_q1_redesign/figure_redesign_notes.md,0bd2ff877960855406be28acb24a1fbe88f3787110121a7fe23cd91ee1917ec1,1042
figure_source,replication/figure_source/generate_q1_paper_assets.py,98429b570f5f815783c3ac5b6d5baf56226bb293ab9b489dd2341c0857de9806,65002
figure_source,replication/figure_source/redraw_q1_figures.py,bf2fe8fc581d2532babc58327801f28c27447e7eb47d3e72b41a8294a542580f,28959
