accuracy,avg_candidates_per_contract,best_checkpoint,candidate_recall,contract_hit,empty_output_rate,f1,format_failure_rate,macro_f1,macro_precision,macro_recall,multi_label_examples,multi_label_f1,multi_label_hit_accuracy,multi_label_precision,multi_label_predictions_file,multi_label_recall,parseable_ratio,precision,predictions_file,recall,run_name,strict_f1,strict_precision,strict_recall,test_examples,tolerant_f1,tolerant_precision,tolerant_recall,train_examples,val_examples,weighted_f1,weighted_precision,weighted_recall,任务,执行机器,方法,本地metrics路径,模型,状态,系列
0.8205670757511637,,artifacts/checkpoints/machine_b_codet5_base_full_e1__has_vul__full/checkpoint-2177,,,,0.8225941422594142,,,,,,,,,,,,0.8330508474576271,,0.812396694214876,machine_b_codet5_base_full_e1__has_vul__full,,,,2363,,,,17411,4667,,,,has_vul,compute_node_b,full,传统基准,Salesforce/codet5-base,completed,传统基准
,91.43866171003718,artifacts/checkpoints/westd_codet5_base_vul_line_full_from_b__vul_line__full/checkpoint,0.7914485767909362,0.7967781908302355,,,,,,,,,,,,,,,artifacts/predictions/westd_codet5_base_vul_line_full_from_b__vul_line__full/predictions_test.jsonl,,westd_codet5_base_vul_line_full_from_b__vul_line__full,0.264041899945819,0.301941346551012,0.2345956354300385,807,0.3714125170742758,0.4638579099545642,0.3096919127086007,10155,1529,,,,vul_line,compute_node_d,full,artifacts/metrics/westd_codet5_base_vul_line_full_from_b__vul_line__full/metrics.json,Salesforce/codet5-base,completed,传统基准
0.610944,,artifacts/checkpoints/machine_b_codet5_base_full_e1__vul_type__full/checkpoint-3124,,,,0.496735,,0.335253,0.616057,0.278115,521,0.334014,0.627639,0.627639,artifacts/predictions/machine_b_codet5_base_full_e1__vul_type__full/predictions_test_multi_label.jsonl,0.227557,,0.610944,artifacts/predictions/machine_b_codet5_base_full_e1__vul_type__full/predictions_test.jsonl,0.418501,machine_b_codet5_base_full_e1__vul_type__full,,,,1992,,,,24992,3829,,,,vul_type,compute_node_b,full,artifacts/metrics/machine_b_codet5_base_full_e1__vul_type__full/metrics.json,Salesforce/codet5-base,completed,传统基准
0.8307236563690225,,artifacts/checkpoints/machine_b_codebert_base_full_e1__has_vul__full/checkpoint-2177,,,,0.8247151621384751,,,,,,,,,,,,0.8777985074626866,,0.7776859504132232,machine_b_codebert_base_full_e1__has_vul__full,,,,2363,,,,17411,4667,,,,has_vul,compute_node_b,full,传统基准,microsoft/codebert-base,completed,传统基准
,91.438662,artifacts/checkpoints/machine_b_codebert_base_full_e1__vul_line__full/checkpoint-22502,0.791449,0.802974,,,,,,,,,,,,,,0.30442,artifacts/predictions/machine_b_codebert_base_full_e1__vul_line__full/predictions_test.jsonl,0.236521,machine_b_codebert_base_full_e1__vul_line__full,0.266209,0.30442,0.236521,807,0.381637,0.483684,0.315148,10155,1529,,,,vul_line,compute_node_b,full,artifacts/metrics/machine_b_codebert_base_full_e1__vul_line__full/metrics.json,microsoft/codebert-base,completed,传统基准
,91.438662,artifacts/checkpoints/machine_b_codebert_base_full_e1__vul_line__full/checkpoint-22502,0.791449,0.802974,,,,,,,,,,,,,,0.30442,artifacts/predictions/machine_b_codebert_base_full_e1__vul_line__full/predictions_test.jsonl,0.236521,machine_b_codebert_base_full_e1__vul_line__full,0.266209,0.30442,0.236521,807,0.381637,0.483684,0.315148,10155,1529,,,,vul_line,compute_node_b,full,artifacts/metrics/machine_b_codebert_base_full_e1__vul_line__full/metrics.json,microsoft/codebert-base,completed,补齐前后对比
0.702811,,artifacts/checkpoints/machine_b_codebert_base_full_e1__vul_type__full/checkpoint-3124,,,,0.571429,,0.420301,0.673725,0.351802,521,0.405516,0.761996,0.761996,artifacts/predictions/machine_b_codebert_base_full_e1__vul_type__full/predictions_test_multi_label.jsonl,0.27627,,0.702811,artifacts/predictions/machine_b_codebert_base_full_e1__vul_type__full/predictions_test.jsonl,0.481431,machine_b_codebert_base_full_e1__vul_type__full,,,,1992,,,,24992,3829,,,,vul_type,compute_node_b,full,artifacts/metrics/machine_b_codebert_base_full_e1__vul_type__full/metrics.json,microsoft/codebert-base,completed,传统基准
0.702811,,artifacts/checkpoints/machine_b_codebert_base_full_e1__vul_type__full/checkpoint-3124,,,,0.571429,,0.420301,0.673725,0.351802,521,0.405516,0.761996,0.761996,artifacts/predictions/machine_b_codebert_base_full_e1__vul_type__full/predictions_test_multi_label.jsonl,0.27627,,0.702811,artifacts/predictions/machine_b_codebert_base_full_e1__vul_type__full/predictions_test.jsonl,0.481431,machine_b_codebert_base_full_e1__vul_type__full,,,,1992,,,,24992,3829,,,,vul_type,compute_node_b,full,artifacts/metrics/machine_b_codebert_base_full_e1__vul_type__full/metrics.json,microsoft/codebert-base,completed,补齐前后对比
0.8480744815911976,,artifacts/checkpoints/machine_b_graphcodebert_base_full_e1__has_vul__full/checkpoint-2177,,,,0.8417805200528867,,,,,,,,,,,,0.9017941454202077,,0.7892561983471075,machine_b_graphcodebert_base_full_e1__has_vul__full,,,,2363,,,,17411,4667,,,,has_vul,compute_node_b,full,传统基准,microsoft/graphcodebert-base,completed,传统基准
,91.438662,artifacts/checkpoints/machine_b_graphcodebert_base_full_e1__vul_line__full/checkpoint-22502,0.791449,0.817844,,,,,,,,,,,,,,0.306072,artifacts/predictions/machine_b_graphcodebert_base_full_e1__vul_line__full/predictions_test.jsonl,0.237805,machine_b_graphcodebert_base_full_e1__vul_line__full,0.267654,0.306072,0.237805,807,0.379238,0.482032,0.31258,10155,1529,,,,vul_line,compute_node_b,full,artifacts/metrics/machine_b_graphcodebert_base_full_e1__vul_line__full/metrics.json,microsoft/graphcodebert-base,completed,传统基准
