accuracy,avg_candidates_per_contract,best_checkpoint,candidate_recall,contract_hit,empty_output_rate,execution_source,f1,format_failure_rate,macro_f1,macro_precision,macro_recall,method,metrics_path,model,model_family,multi_label_examples,multi_label_f1,multi_label_hit_accuracy,multi_label_precision,multi_label_predictions_file,multi_label_recall,parseable_ratio,precision,predictions_file,recall,run_name,status,strict_f1,strict_precision,strict_recall,task,test_examples,tolerant_f1,tolerant_precision,tolerant_recall,train_examples,val_examples,weighted_f1,weighted_precision,weighted_recall
0.48582310622090563,,,,,,compute_node_a,0.02566158781074579,,,,,direct,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen2.5-Coder,,,,,,,,0.43243243243243246,artifacts/predictions/matrix_balanced721_qwen05_e1__has_vul__direct/predictions.jsonl,0.013223140495867768,matrix_balanced721_qwen05_e1__has_vul__direct,completed,,,,has_vul,2363,,,,,,,,
0.8751586965721541,,artifacts/checkpoints/matrix_balanced721_qwen05_e1__has_vul__full/checkpoint-2177,,,,compute_node_a,0.8755799240826655,,,,,full,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen2.5-Coder,,,,,,,,0.8940568475452196,,0.8578512396694215,matrix_balanced721_qwen05_e1__has_vul__full,completed,,,,has_vul,2363,,,,17411,4667,,,
0.48709267879813795,,,,,,compute_node_a,0.03503184713375796,,,,,prompt,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen2.5-Coder,,,,,,,,0.4782608695652174,artifacts/predictions/matrix_balanced721_qwen05_e1__has_vul__prompt/predictions.jsonl,0.01818181818181818,matrix_balanced721_qwen05_e1__has_vul__prompt,completed,,,,has_vul,2363,,,,,,,,
0.7291578501904359,,artifacts/checkpoints/matrix_balanced721_qwen05_e1__has_vul__qlora/checkpoint-2177,,,,compute_node_a,0.7374897456931911,,,,,qlora,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen2.5-Coder,,,,,,,,0.7320846905537459,,0.7429752066115702,matrix_balanced721_qwen05_e1__has_vul__qlora,completed,,,,has_vul,2363,,,,17411,4667,,,
,91.438662,,0.791449,0.268897,,compute_node_a,,,,,,direct,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_line__direct/metrics.json,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen2.5-Coder,,,,,,,,,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_line__direct/predictions.jsonl,,matrix_balanced721_qwen05_e1__vul_line__direct,completed,0.045151,0.051632,0.040116,vul_line,807,0.107729,0.180917,0.076701,,,,,
,91.438662,artifacts/checkpoints/matrix_balanced721_qwen05_e1__vul_line__full/checkpoint-22502,0.791449,0.845105,,compute_node_a,,,,,,full,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_line__full/metrics.json,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen2.5-Coder,,,,,,,,0.334572,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_line__full/predictions_test.jsonl,0.259949,matrix_balanced721_qwen05_e1__vul_line__full,completed,0.292577,0.334572,0.259949,vul_line,807,0.390406,0.480793,0.328626,10155,1529,,,
,91.438662,,0.791449,0.219331,,compute_node_a,,,,,,prompt,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_line__prompt/metrics.json,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen2.5-Coder,,,,,,,,,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_line__prompt/predictions.jsonl,,matrix_balanced721_qwen05_e1__vul_line__prompt,completed,0.052014,0.05948,0.046213,vul_line,807,0.089403,0.180917,0.059371,,,,,
,91.438662,artifacts/checkpoints/matrix_balanced721_qwen05_e1__vul_line__qlora/checkpoint-22502,0.791449,0.789343,,compute_node_a,,,,,,qlora,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_line__qlora/metrics.json,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen2.5-Coder,,,,,,,,0.291202,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_line__qlora/predictions_test.jsonl,0.226252,matrix_balanced721_qwen05_e1__vul_line__qlora,completed,0.254651,0.291202,0.226252,vul_line,807,0.372784,0.481206,0.304236,10155,1529,,,
0.192269,,,,,,compute_node_a,0.156327,,0.057564,0.267202,0.11793,direct,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_type__direct/metrics.json,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen2.5-Coder,521,0.099081,0.18618,0.18618,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__direct/predictions_multi_label.jsonl,0.067502,,0.192269,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__direct/predictions.jsonl,0.131706,matrix_balanced721_qwen05_e1__vul_type__direct,completed,,,,vul_type,1992,,,,,,,,
0.763554,,artifacts/checkpoints/matrix_balanced721_qwen05_e1__vul_type__full/checkpoint-3124,,,,compute_node_a,0.620816,,0.47549,0.851339,0.388493,full,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_type__full/metrics.json,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen2.5-Coder,521,0.423902,0.796545,0.796545,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__full/predictions_test_multi_label.jsonl,0.288796,,0.763554,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__full/predictions_test.jsonl,0.52304,matrix_balanced721_qwen05_e1__vul_type__full,completed,,,,vul_type,1992,,,,24992,3829,,,
0.199799,,,,,,compute_node_a,0.162449,,0.055188,0.163189,0.115773,prompt,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_type__prompt/metrics.json,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen2.5-Coder,521,0.099081,0.18618,0.18618,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__prompt/predictions_multi_label.jsonl,0.067502,,0.199799,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__prompt/predictions.jsonl,0.136864,matrix_balanced721_qwen05_e1__vul_type__prompt,completed,,,,vul_type,1992,,,,,,,,
0.600904,,artifacts/checkpoints/matrix_balanced721_qwen05_e1__vul_type__qlora/checkpoint-3124,,,,compute_node_a,0.488571,,0.363007,0.63799,0.291479,qlora,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_type__qlora/metrics.json,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen2.5-Coder,521,0.351379,0.660269,0.660269,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__qlora/predictions_test_multi_label.jsonl,0.239388,,0.600904,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__qlora/predictions_test.jsonl,0.411623,matrix_balanced721_qwen05_e1__vul_type__qlora,completed,,,,vul_type,1992,,,,24992,3829,,,
0.4955564959796868,,,,,,compute_node_a,0.05246422893481717,,,,,direct,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen2.5-Coder,,,,,,,,0.6875,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__has_vul__direct/predictions.jsonl,0.02727272727272727,formal_balanced721_qwen25coder15b_e1__has_vul__direct,completed,,,,has_vul,2363,,,,,,,,
